,,,,,,,,,,,,,,,,,,,,,,
,Python,,,,,,,,,,,,,,,,,,,,,
,youtube-dl,0,0,0,-,0,0,0,,Youtube downloader,,,,https://github.com/ytdl-org/youtube-dl,,,,,,,0,
,The Fuck,0,0,x,-,x,0,0,,Console command fixer,,,,https://github.com/nvbn/thefuck,,,,,,,33,
,Django,x,x,x,-,x,x,x,,Web framework,,,,https://github.com/django/django,,,,,,,100,
,Transformers,0,0,x,-,x,x,0,,Machine learning models,,,,https://github.com/huggingface/transformers,,,,,,,50,
,flask,0,0,0,-,x,x,0,,Web application framework,,,,https://github.com/pallets/flask,,,,,,,33,
,Keras,x,0,x,-,x,x,x,,Deep learning API,,,,https://github.com/keras-team/keras,,,,,,,83,
,Ansible,x,x,x,-,x,x,x,,IT automation,,,,https://github.com/ansible/ansible,,,,,,,100,
,Home Assistant,0,0,x,-,x,x,0,,Home automation,,,,https://github.com/home-assistant/core,,,,,,,50,
,Scikit-learn,x,0,x,-,x,x,x,,Machine learning library,,,,https://github.com/scikit-learn/scikit-learn,,,,,,,83,
,requests,0,0,x,-,x,0,0,,HTTP library,,,,https://github.com/psf/requests,,,,,,,33,
,,,,,,,,,,,,,,,,,,,,,57,
,,,,,,,,,,,,,,,,,,,,,,
,C++,,,,,,,,,,,,,,,,,,,,,
,Chromium,x,x,x,x,x,-,-,,Browser engine,,,,https://source.chromium.org/chromium/chromium,,,,,,,100,
,TensorFlow,x,x,x,0,x,-,-,,Machine Learning framework,,,,https://github.com/tensorflow/tensorflow,,,,,,,80,
,Electron,0,0,x,0,0,-,-,,Desktop app framework,,,,https://github.com/electron/electron,,,,,,,20,
,terminal,x,x,x,0,x,-,-,,Windows terminal,,,,https://github.com/microsoft/terminal,,,,,,,80,
,bitcoin,x,x,x,0,x,-,-,,Bitcoin client,,,,https://github.com/bitcoin/bitcoin,,,,,,,80,
,OpenCV,x,x,x,0,x,-,-,,Computer vision library,,,,https://github.com/opencv/opencv,,,,,,,80,
,Swift,x,x,x,x,x,-,-,,Programming language,,,,https://github.com/apple/swift,,,,,,,100,
,Pytorch,x,x,x,x,x,-,-,,Machine Learning framework,,,,https://github.com/pytorch/pytorch,,,,,,,100,
,Protobuf,x,x,x,0,x,-,-,,Data interchange format,,,,https://github.com/protocolbuffers/protobuf,,,,,,,80,
,Godot,x,x,x,0,x,-,-,,Game engine,,,,https://github.com/godotengine/godot,,,,,,,80,
,,,,,,,,,,,,,,,,,,,,,80,
,,,,,,,,,,,,,,,,,,,,,,
,C#,,,,,,,,,,,,,,,,,,,,,
,PowerToys,0,-,x,-,x,-,-,,Windows system utilities,,,,https://github.com/microsoft/PowerToys,,,,,,,67,
,Shadowsocks Windows,0,-,0,-,0,-,-,,Encryption Protocol,,,,https://github.com/shadowsocks/shadowsocks-windows,,,,,,,0,
,PowerShell,0,-,x,-,x,-,-,,Terminal,,,,https://github.com/PowerShell/PowerShell,,,,,,,67,
,ASP.NET core,x,-,x,-,x,-,-,,Web framework,,,,https://github.com/dotnet/aspnetcore,,,,,,,100,
,CodeHub,0,-,0,-,x,-,-,,Github client,,,,https://github.com/CodeHubApp/CodeHub,,,,,,,33,
,WoX,0,-,0,-,0,-,-,,App launcher,,,,https://github.com/Wox-launcher/Wox,,,,,,,0,
,Files,0,-,0,-,x,-,-,,File manager,,,,https://github.com/files-community/Files,,,,,,,33,
,,,,,,,,,,,,,,,,,,,,,43,
,,,,,,,,,,,,,,,,,,,,,,
,Visual Basic,,,,,,,,,,,,,,,,,,,,,
,TaskbarX,0,-,0,-,-,-,-,,UI customizer,,,,https://github.com/ChrisAnd1998/TaskbarX,,,,,,,0,
,CompactGUI,0,-,0,-,-,-,-,,File compression UI,,,,https://github.com/ImminentFate/CompactGUI,,,,,,,0,
,VBA-Web,0,-,0,-,-,-,-,,Web framework,,,,https://github.com/VBA-tools/VBA-Web,,,,,,,0,
,SharpShooter,0,-,0,-,-,-,-,,Payload generation framework,,,,https://github.com/mdsecactivebreach/SharpShooter,,,,,,,0,
,VBA-JSON,0,-,0,-,-,-,-,,JSON Parser,,,,https://github.com/VBA-tools/VBA-JSON,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,
,PHP,,,,,,,,,,,,,,,,,,,,,
,Laravel,-,-,-,-,0,0,-,,Web framework,,,,https://github.com/laravel/laravel,,,,,,,0,
,SecLists,-,-,-,-,0,0,-,,Security testing,,,,https://github.com/danielmiessler/SecLists,,,,,,,0,
,jQuery File Upload,-,-,-,-,0,0,-,,File upload widget,,,,https://github.com/blueimp/jQuery-File-Upload,,,,,,,0,
,Symfony,-,-,-,-,x,x,-,,Web component framework,,,,https://github.com/symfony/symfony,,,,,,,100,
,Faker,-,-,-,-,0,x,-,,Fake data generator,,,,https://github.com/fzaninotto/Faker,,,,,,,50,
,Composer,-,-,-,-,0,0,-,,Dependency manager,,,,https://github.com/composer/composer,,,,,,,0,
,Guzzle,-,-,-,-,x,x,-,,HTTP client,,,,https://github.com/guzzle/guzzle,,,,,,,100,
,Monolog,-,-,-,-,0,0,-,,Logging library,,,,https://github.com/Seldaek/monolog,,,,,,,0,
,Nextcloud,-,-,-,-,x,x,-,,Self-hosted cloud,,,,https://github.com/nextcloud/server,,,,,,,100,
,,,,,,,,,,,,,,,,,,,,,63,
,,,,,,,,,,,,,,,,,,,,,,
,Groovy,,,,,,,,,,,,,,,,,,,,,
,Gradle,x,-,-,-,x,x,-,,Build tool,,,,https://github.com/gradle/gradle,,,,,,,100,
,Rundeck,0,-,-,-,x,x,-,,Automation service,,,,https://github.com/rundeck/rundeck,,,,,,,67,
,AspectJX,0,-,-,-,0,0,-,,Gradle plugin,,,,https://github.com/HujiangTechnology/gradle_plugin_android_aspectjx,,,,,,,0,
,Gradle Versions Plugin,0,-,-,-,0,0,-,,Gradle plugin,,,,https://github.com/ben-manes/gradle-versions-plugin,,,,,,,0,
,Shadow,x,-,-,-,x,x,-,,Gradle plugin,,,,https://github.com/johnrengelman/shadow,,,,,,,100,
,,,,,,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,,,,,,,
,Ruby,,,,,,,,,,,,,,,,,,,,,
,Rails,x,-,x,-,x,-,-,,Web framework,,,,https://github.com/rails/rails,,,,,,,100,
,Jekyll,0,-,x,-,x,-,-,,Static site generator,,,,https://github.com/jekyll/jekyll,,,,,,,67,
,Discourse,0,-,x,-,x,-,-,,Discussion platform (forums & mailing list etc),,,,https://github.com/discourse/discourse,,,,,,,67,
,Huginn,0,-,x,-,x,-,-,,Web automation system,,,,https://github.com/huginn/huginn,,,,,,,67,
,Fastlane,0,-,x,-,x,-,-,,Mobile app build/release automation,,,,https://github.com/fastlane/fastlane,,,,,,,67,
,Brew,x,-,x,-,x,-,-,,Package manager,,,,https://github.com/Homebrew/brew,,,,,,,100,
,,,,,,,,,,,,,,,,,,,,,78,
,,,,,,,,,,,,,,,,,,,,,,
,Swift,,,,,,,,,,,,,,,,,,,,,
,Alamofire,0,0,x,-,0,-,-,,HTTP Networking library,,,,https://github.com/Alamofire/Alamofire,,,,,,,25,
